,Pattern Name,,,Patlet,Author,Date,,1
,Single Mediator,,,"If the team talks directly with customers, then it is hard to keep focus on priorities, but if there are too many connections between the team and the customer, there is too much noise. Therefore: The customer, Product Owner, and team form 1 - 2 - 3 chain links.",Veli-Pekka Eloranta,2010-11-11,Product Organization,105
,Product Owner Team,,,Sometimes a single Product Owner can't handle all the work to manage the Product Backlog. Therefore: Have a Product Owner Team.,Jeff Sutherland,2010-05-29,Product Organization,106
,Development Partnership,,,"If a development effort is split across enterprises, break down the traditional boundaries between sides.",Jim Coplien,2016-04-16,Product Organization,106
,Chief Product Owner,,,"If you have a Product Owner Team, responsibility can become diffuse. Therefore: Have a single Chief Product Owne who is responsible for the work of the Product Owner Team.

Folded into Product Owner Team.",Jeff Sutherland,2010-05-17,Product Organization,107
,Illegitimus Non Interruptus,,,"There are always emergent requirements, and Scrum accommodates these in its velocity, yet some need business attention. Therefore: give the Product Owner discretion over some fraction of the team's velocity to accommodate market changes.",Jeff Sutherland,2011-05-05,Team,108
,Question Hour,,,,Veli-Pekka Eloranta,2011-05-05,Team,109
,Rotating Guru,,,,Monica Yap,2010-05-01,Distributed Scrum,110
,The Mist,,,"Organizations do not spring spontaneously from the Earth: they self-organize around a vision, or around a person (such as a Product Owner) with a vision. While it would be nice if all organizations were born as Scrum organizations, most innovative organizations spring forth from tabla rasa or or born into a culture foreign to Scrum.
",Jim Coplien,2016-07-01,Product Organization,111
,Out of the Mist,,,People learn to organise around shared visions. No longer needed because Vision now dovetails the resulting Context.,Jim Coplien,2016-07-01,Product Organization,111
,Development Team,,,The pigs.,Jim Coplien,2012-05-11,Product Organization,111
,,Cross-Functional Team,,It's costly to coordinate work across specialized organizations; Therefore: Colocate the specialties within a team so it has all necessary talent to deliver outcomes.,"Dina Friis, Gertrud Bjørnvig, Jim Coplien",2012-02-23,Product Organization,112
,,Stable Teams,,You need predictability; Therefore: Keep teams stable over time,"Gertrud Bjørnvig, Lachlan Heasman",2010-05-01,Team,113
,,Remove the Shade,,We value heroes but can also become overly dependent on them; Therefore: Displace the hero figure from the team to give the rest of the team room to grow,"Dina Friis, Gertrud Bjørnvig",2012-10-28,Team,114
,,Autonomous Team,,Teams need to be able to work without outside interference (Self-Managing Team),Neil B. Harrison,2013-03-25,Team,115
,,Self-Organizing Team,,You need to be autonomous before you self-organize.,Neil B. Harrison,2013-03-25,Team,116
,,Developer-Ordered Work Plan,,The team should have the final say over the ordering of sprint backlog items,James Coplien,2011-04-04,Team,117
,,Collocated Team,,How do you maximise communication in a team and support the seemingly random nature of it?  Locate the entire team within talking distance,Lachlan Heasman,2013-05-16,Team,118
,,Small Team,,A large group of people working together will usually splinter into subgroups decreasing the overall group effectiveness. Therefore: Use small teams of people working closely together.,Lachlan Heasman,2013-05-16,Team,119
,,Daily Scrum,,"Because we have emergent requirements and uncertainty, the Development Team replans dailly to raise the chances of meeting their forecast. [Link only — this is now in the Value Stream pattern language because of its role in re-building the Work Plan every day.]","Neil Harrison, Lachlan Heasman, Jim Coplien",2013-05-16,Team,120
,,Team Sprint,,The Product Owner is sometimes too externally focused; Therefore: let team members occasionally take control of the PBIs that they want to do,Veli-Pekka Eloranta,2011-08-22,Team,121
,,Swarming: One-Piece Continuous Flow,,Handoffs lead to poor feedback loops; Therefore: Have the team all work together on one item at a time,Jeff Sutherland,2013-05-21,Team,122
,,Oyatsu Jinja,,"The company cafeteria is often on a different floor and disrupts the team efforts. Therefore: Create a Oyatsu Jinja (""snacks shrine""). ",Kiro Harada,2012-03-02,Team,123
,,Snack Shrine,,Alias for Oyatsu Jinja,Kiro Harada,2012-03-02,Team,124
,,Kaizen Pulse,,"Continuous improvement is never continuous: therefore, go between plateaus",James O. Coplien,2013-03-27,Team,125
,,Follow the Moon,,Scrum cycles should be attendant to natural rhythms (破),Gertrud Bjørnvig,2013-03-18,Team,126
,,Beyond the Happy Bubble,,Teams become victims of groupthink; Therefore: Have a catalyst who actively keeps the team a bit uncomfortable,Gabrielle Benefield,5/1/2011,Misc,127
,,Scrumming the Scrum,,Use Scrum and its Product Backlog to keep improving every Sprint,Jeff Sutherland,2013-03-08,Team,128
,,Producer Roles,,"There are way too many roles, yet all the roles seem important. It looks like there is no way to reduce the bureaucracy. Identify each role as a producer, supporter, or roles that add no value to the project (deadbeats), and eliminate the deadbeats",Jim Coplien and Neil Harrison,2004-06-06,Team,129
,,Norms of Conduct,,"A team is unable to discuss issue; things are unsaid, questions are unanswered, and solutions are not explored; Therefore: create norms of conduct to promote constructive conflict and discussions.",Cesario Ramos,2013-03-08,Team,130
,,Circle Of Trust,,Depending on others for your success fosters micromanagement; Therefore: develop a virtuous cycle of trust and accomplishment,Neil Harrison,2013-03-08,Team,131
,,Distribute Work Evenly,,"Counterbalance to Domain Expertise in Roles, to make sure there's no starvation or blocking",James Coplien,2014-07-15,Team,131
,Domain Expertise in Roles,,,"People like to focus and excel: Therefore, encourage specialization at the framework level and don't discourage it at the development team level",James Coplien,2014-07-15,Team,131
,Small Red Phone,,,Critical personnel should never be out-of-reach; Therefore: Give each one a cell phone as an ever-ready hotline to be used in emergencies,James Coplien,2011-04-30,Team,132
,ScrumMaster,,,Even self-organizing teams need leadership. Therefore: hire a ScrumMaster to challenge and lead the Team,Neil Harrison,2012-04-18,Team,133
,,Coach,,Teams may know their level of performance but not now how to improve; therefore: have a ScrumMaster to help chart a path to improvement,Neil Harrison,2012-04-18,Team,134
,,Product Owner Trainer,,New Product Owners often lack the context and skills for doing their job in a Scrum way; therefore: Have the ScrumMaster support the Product Owner through advice and education,Neil Harrison,2012-04-18,Team,135
,,Firewall,,"There are always those who want to ""help,"" though such ""help"" is a distraction; therefore: the ScrumMaster insulates the team from unwanted distractions",Neil Harrison,2012-04-18,Team,136
,,Catalyst,,"Scrum depends on collaboration for success; therefore: Create an environment in which team members WANT to come together to communicate and collaborate, as well as provide opportunities for them to come together.",Neil Harrison — removed,2012-04-18,Team,137
,,Cheerleader,,,Neil Harrison,2012-04-18,Team,138
,,Knight of the Mirrors,,,Neil Harrison,2012-04-18,Team,139
,,DoneMaster,,,Neil Harrison,2012-04-18,Team,140
,,Sheepdog,,,Neil Harrison,2012-04-18,Team,141
,,Scrum (Master) Coach,,,Lachlan Heasman,2014-10-17,Team,142
,,Change Agent,,"Referenced in ScrumMaster pattern. I don't think it's a separately introducible pattern and I think it's already covered by ScrumMaster and  by Catalyst. We should decide whether to keep it and, if not, remove the references to it.",Neil Harrison,2015-04-22,Team,142.5
,Scrumming the Scrum,,,Process improvement is a primary goal of Scrum; Therefore: Use Scrum itself to manage and give visibility to Kaizen initiatives,Jeff Sutherland,2011-05-05,Process Improvement,143
,Boot Camp,,,Multi-site teams have difficulty interfacing person-to-person; Therefore: bond organizational members by working together in an intensive Boot Camp,Monica Yap,2010-05-01,Distributed Scrum,144
,Meta Scrum,,,Run the enteprise as a Scrum,Sutherland & Evan,2016-05-26,Product Organization,145
,Quantum Entanglement,,,"A pattern for distributed teams. Kickoff together, stabilise then move apart. Bring back together at key points and if velocity drops to stabilize. 

Dropped.",Gabrielle Benefield,2010-05-17,Distributed Scrum,145
,Developing in Pairs,,,Two sombreros are better than one,Jim Coplien and Neil Harrison,2004-06-06,Team,146
,The Water Cooler,,,Provide a place for interaction. Link to Snack Shrine!,Jim Coplien and Neil Harrison,2004-06-06,Team,147
,Self-Selecting Team,,,How teams form. Alternative to Stable Teams.,Jim Coplien and Neil Harrison,2004-06-06,Team,148
,Thought Leader,,,"Direct management intervention stimies self-organization; Therefore: let managers convince a leader on the team, who takes the issue to the team. (Creatively subverts the ability of a team to manage itself?)",Gabrielle Benefield,2010-05-16,Team,149
,Return and Report,,,"Open-ended assignments create uncertainty and stress, and undermine trust; Therefore: establish a future point at which status will be reported. [Removed]",Neil Harrison,2013-03-08,Team,150
,Improvement Community,,,"You have a vision for change about how other teams do their work, to better cooperate with your own team or to improve overall system performance, but its not clear how to go about it. Therefore: Two or more Teams agree to work through system level problems together; each Team elects a member to represent them in an Improvement Community and consents to follow the agreements made by the community.

Folded into Birds of a Feather.",Evan Leonard,2013-05-16,Team,151
,Impediment Removal Team,,,"Large impediments require large effort to remove. Who should do this work? Therefore, create a Scrum team whose work it is to remove impediments. Instead of being a pattern in itself, fit into Scrum of Scrums.",Evan Leonard,2015-02-19,Team,152
,Norms of Conduct,,,"A team is unable to discuss issue; things are unsaid, questions are unanswered, and solutions are not explored; Therefore: create norms of conduct to promote constructive conflict and discussions.",Cesario Ramos,2013-03-08,Team,153
,Follow the Leader,,,"When it comes to Scrum issues, the Development Team should follow the ScrumMaster — Dropped",Jens Østergaard,2013-03-08,Team,154
,,,,,,,,155
Scaling Scrum Pattern Language - FIXME: Make sure all of these have a new home!,,,,,,,Scaling Scrum,156
,Scrum of Scrums,,,"When more then one Development Team needs to work together to create a potentially releasable product Increment, inter-team coordination warrants explicit attention.",Cesário Ramos,2016-04-08,Scaling Scrum,157
,Aggregate Velocity,,,Velocity is a property of a product backlog and not of a team; Therefore: have all Scrum teams for a single product backlog estimate together using a common baseline and range,James O. Coplien,2010-05-01,Scaling Scrum,158
,Specialized Velocities,,,It's hard to do Aggregate Velocity if you have too many teams; Therefore: Specialize teams (not individuals) and let each one estimate and build PBIs matched to their specialization,James O. Coplien,2010-05-01,Scaling Scrum,159
,Project Ready Criteria,,,"Unclear requirements are a common problem. Therefore: have ""Ready"" criteria that must be met before development starts.",Dan Greening,2012-03-03,Product Organization,160
,Portfolio Management,,,,Dan Greening,2012-03-03,Scaling Scrum,161
,,Limited Duration Projects,,"You can't release every Sprint, so limit the amount of time for a project.",Dan Greening,2012-03-03,Scaling Scrum,162
,,Portfolio Backlog,,"20% of the work generates 80% of the revenue. Therefore: focus on the big winners at the portfolio level, and create a priority list of projects.",Dan Greening,2012-03-03,Scaling Scrum,163
,,Portfolio Standup,,"Large enterprises manage many projects, but the market and the world for those projects changes. Therefore: have weekly standups to refine the portfolio backlog.",Dan Greening,2012-03-03,Scaling Scrum,164
,,Project Ready Criteria,,"Unclear requirements are a common problem. Therefore: have ""Ready"" criteria that must be met before development starts.",Dan Greening,2012-03-03,Product Organization,165
,,Project Management,,"Scrum handles one product  at a time, but you may have several revenue streams; Therefore: Handle several projects on a single product backlog",James O. Coplien,2010-05-01,Scaling Scrum,166
,,,,,,,Scaling Scrum,167
Scrum Core Pattern Language,,,,,,,Scrum Core,168
,Daily Scrum,,,,"Neil Harrison, Lachlan Heasman, Jim Coplien",2010-11-11,Scrum Core,169
,Release Burndown,,,No longer part of Scrum?,Mike Beedle,2010-11-11,Scrum Core,170
,Release Planning Meeting,,,No longer part of Scrum?,Mike Beedle,2010-11-11,Scrum Core,171
,ScrumMaster,,,,Neil Harrison,2012-04-18,Scrum Core,172
,DoneMaster,,,,Neil Harrison,2012-04-17,Scrum Core,173
,Catalyst,,,,Neil Harrison,2012-04-17,Scrum Core,174
,Scrum Team,,,,Mike Beedle,2010-11-11,Scrum Core,175
,Pulse,,,"Uncertainty about the duration of a work episode prevents the work from being done effectively, so work in time units of uniform length",Neil Harrison,2013-05-04,Scrum Core,176
,Sprint,,,"The Value Stream needs expression as series of release units over time; therefore, divide up the release stream both timewise and product-increment-wise into fixed-length time units called Sprints",Jim Coplien,2010-11-11,Scrum Core,177
,,Uniform Window,,,Neil Harrison,2013-03-09,Scrum Core,178
,Sacred Schedule,,,"If you don't end on time, you don't know where you are; Therefore: Don't put off sprint termination, even for a day.",Joe Bergin,5/1/2010,Scrum Core,179
,Sprint Backlog,,,,Mike Beedle,2010-11-11,Scrum Core,180
,Sprint Burndown,,,,Alan O'Callaghan,2010-11-11,Scrum Core,181
,Sprint Planning Meeting,,,"There is a discontinuity between ""what"" and ""how"" in the Value Stream; therefore: create a ceremony to manage that transition",Mike Beedle and Ademar Aguiar,2010-11-11,Scrum Core,182
,Sprint Retrospective,,,"You need a focal point for process improvement, because true continuous improvement is inefficient. Therefore: Convene a periodic ceremony to focus on process improvement",Neil Harrison and Mike Beedle,2013-07-02,Sprint,183
,Scrum Board,,,What is this?,Alan O'Callaghan,2014-01-05,Scrum Core,184
,Product Owner,,,"You need a single, ordered product backlog. Therefore: Get a Product Owner with deep business experience and domain knowledge to create the backlog.",Jeff Sutherland,2010-05-17,Value Stream,185
,Product Backlog,,,"Early in the value stream, you need to share the vision and create a foundation to start delivering. Therefore: Create a visible ordered list that articulates an ordered delivery of Product Increments that realize the Product Owner's vision",James O. Coplien,2010-05-01,Value Stream,186
,Change Management,,,,Evan Leonard,,Misc,187
,,Electric Field,,,,,,188
,,Are We There Yet?,,"It's hard to know if you're doing what you say you're doing. Therefore, create a “scorecard” for Scrum Teams to periodically fill out that checks to see how Teams are using the agreed on Roles and Policies.",Evan Leonard,2/15/2012,Misc,189
,,No More Rationalizations,,"Teams rationalize their impediments, which can impede progress. Therefore: Have each team work rationalized impediments with the Product Owner.",Evan Leonard,2/15/2012,Misc,190
,,Consilience Team,,You need a single point of focus to take things forward; therefore: Create a Scrum Team,Evan Leonard,2/15/2012,Misc,191
,,Working Agreements,,"The Team often has a hard time making its work visible; therefore: Make it visible, as on a Wiki. (This is old and superceded by Norms of Conduct)",Evan Leonard,2/15/2012,Misc,192
,,Coherent Theory,,Analysis paralysis can kill you; therefore: Keep going only until the value of additional theory-building outweighs the value of taking it forward,Evan Leonard,2/15/2012,Misc,193
,,Enduring Change,,"Teams left to themselves fall away from Scrum. Therefore: by putting upper and middle management support in place and empowering the teams to define impediments, the organization becomes self-sustaining.",Evan Leonard,2/15/2012,Misc,194
,,Prepared Environment,,"While executive management may push Scrum, they're too far removed from the troops to support them. Therefore: form a middle management team whose job it is explicitly to support the Scrum transition at the grassroots level.",Evan Leonard,2/15/2012,Misc,195
,,Fire Keeper,,"Teams need to surface and deal with tacit fear, but raising fear can breed fear. Therefore: create a role, like the ScrumMaster, to hold team fears and hold them in an objective light.",Evan Leonard,2/15/2012,Misc,196
,,Bumper Bowling,,It's tempting to do Scrum in a way that doesn't work. Therefore: have a deeply experienced ScrumMaster encourage a bounded direction for team evolution and growth.,Evan Leonard,2/15/2012,Misc,197
,,North Star,,It's easy to get lost in details and local optimizations during development-level Kaizen. Therefore: have the Product Owner establish the vision of the big picture to rally the team to a concerted direction.,Evan Leonard,2/15/2012,Misc,198
,,Tension Backlog,,Discussions about problems and direction can go on forever. Therefore: create an Impediment List to structure the team's discussion.,Evan Leonard,2/15/2012,Misc,199
,,"Documentation, by the people for the people",,"Documentation is difficult to make useful to those who need it, and difficult to get from those who write it. Therefore: let those who need the documentation write it.","Gabrielle Benefield, Neil Harrison",3/2/2012,Misc,200
Unlinked Patterns,,,,,,,Misc,201
,Crossing the Busy Street,,,Problem: It easy for a person or a team to fall into a state of mind where everything is good enough. This leads to a lack of interest in improving. Solution: Make inspection part of the process.	,"Dina Friis, Jens Ostergaard",3/31/2012,Misc,202
,Dream Team,,,"Problem: People step outside the boundaries of there role, or do not fulfill the role. Solution: Create a job description that specifies the expected work and attitude.","Dina Friis, Jens Ostergaard",3/31/2012,Misc,203
,Couch Coach,,,"Problem: Scrum Master lets the organization overrule Scrum guidelines. Solution: Make sure the Scrum Master fulfills her, or his, role.","Dina Friis, Jens Ostergaard",3/31/2012,Misc,204
,Sacred Schedule,,,"If you don't end on time, you don't know where you are; Therefore: Don't put off sprint termination, even for a day. (Duplicate)",Joe Bergin,5/1/2010,Misc,205
,Bake-off,,,"You have to face emergent requirements, but it's costly to terminate a whole line of inquiry before starting another; Therefore: Do set-based design, exploring several alternatives in parallel
Renamed from Bake-Off to Set-Based Design (separate entry above)",Evan Leonard,8/1/2016,Misc,206
,Checklists,,,"You can't remember everything, and details are sometimes important; Therefore: Use checklists for frequent, repetitive tasks.",James O. Coplien,5/1/2010,Misc,207
,Overcommitment,,,"Something happened in the sprint and the team is not going to make the sprint goal; Therefore: Execute emergency procedure
(Replaced by Emergency Procedure)",Jens Østergaard,5/1/2010,Misc,208
,Groupthink [DRAFT],,,"Problem: Team is not interested in retrospective 
Solution : Find out if team is in groupthink. (Replaced by Pop the Happy Bubble)",Jens Østergaard,5/1/2010,Misc,209
,Patron-Supported Understanding,,,"Problem: Scrum does not have buy-in from management
Solution : Educate, get a patron and show result",Jens Østergaard,5/1/2010,Misc,210
,Expose Sneak Paths,,,"People outside team add work to the team
Solution : Make it transparent",Jens Østergaard,5/1/2010,Misc,211
,Expose Resource Leaks,,,"Problem: People outside team steal resources
Solution : Make it transparent",Jens Østergaard,5/1/2010,Misc,212
,Can't Serve Two Masters,,,"Problem: Team look at ScrumMaster (who is also team member) as an authority
Solution : Person drops one of the role",Jens Østergaard,5/1/2010,Misc,213
,External Feature Owner,,,"Problem  : Team is dependent an an external resource in the sprint and is unsure of how it is going
Solution : Make a team member responsible for the external resource, being proactive",Jens Østergaard,5/1/2010,Misc,214
,ScrumMaster Gets Fired,,,"ProductOwner tells team that these PBIs have priority one, and the rest is priority two; Not only does the Product Backlog have to prioritized, PBIs also have to be sequenced.

Dropped 4/2/2017.",Jens Østergaard,5/1/2010,Misc,215
,Promising All The Gold in the World,,,,Jens Østergaard,5/17/2010,Misc,216
,Continuous Integration,,,"Scrum depends on early and frequent feedback, particularly about product quality; Therefore: Check in code when an increment is done, and immediately build the system against the changes.",Jeff Sutherland,5/18/2010,Misc,217
,Bad News First,,,,Gabrielle Benefield,5/1/2011,Misc.,218
,Break Eye Contact,,,The ScrumMaster is drawn into the Daily Scrum too much; Therefore: The ScrumMaster should break eye contact to telegraph that Team members should be talking with each other,Gabrielle Benefield,4/26/2011,Misc.,219
,Build Less,,,"The problem is to get to launch quickly.  Therefore: Focus on what is important, and build less.",Gabrielle Benefield,5/1/2011,Misc.,220
,Constant Crisis,,,,Gabrielle Benefield,4/26/2011,Misc.,221
,Four Minute Mile,,,The team has become complacent and may not be improving at all; Therefore: Give the team a Herculean challenge that helps them question their assumptions,Gabrielle Benefield,5/2/2011,Misc.,222
,Hackathon,,,"Problem: Organisations become fixated on building to the business model and not allowing enough time for freedom of creativity.  Solution: 24 hour hackathons quarterly, both internal to the organisation and external.",Gabrielle Benefield,5/1/2011,Misc.,223
,Hack Sprint,,,"Problem: Teams can burn out and don't have time to step back and be creative or work on something they feel is important.  Solution: Hack Sprints.  One sprint every quarter for the Scrum team to create their own PB. This finally made it in as ""Team Sprint.""",Gabrielle Benefield,5/1/2011,Misc,224
,Involve The Managers,,,"If people feel a need to help, give them something harmless to do",Gabrielle Benefield & Neil Harrison,5/1/2011,Misc.,225
,Helpers in Pairs,,,"Instead offering part-time assignment of a team member,  offer full-time assignment of two team members who understand Scrum well.",Kiro Harada,2012-03-02,Team,226
,Prove It Don't Plead It,,,,Gabrielle Benefield,5/1/2011,Misc.,227
,Risk Backlog,,,,Gabrielle Benefield,4/26/2011,Misc.,228
,Shark's Fin,,,Inexpert changes introduce bugs; Therefore: Introduce bugs to placate those who feel they need to contribute improvements.,Gabrielle Benefield,5/1/2011,Misc.,229
,Systemic Over Symptomatic,,,,Gabrielle Benefield,5/1/2011,Misc.,230
,Definition of Done Baseline,,,"It's common to set the bar too high or too low for the definition of Done. Therefore: Set the definition of ""Done"" according to how most team members do their work. Dropped, because it sets the bar low at status quo, rather than challenging the team to consider value and a minimal standard that comes from the business instead of current engineering practice.",Ville Reijonen,3/2/2012,Value Stream,231
,System Level Definition of Done,,,You want uniform quality across teams with regard to certain quality criteria. Therefore: define a system-wide definition of Done that applies to all teams. - Dropped,Ville Reijonen,3/2/2012,Value Stream,232
,360° Feedback,,,,Cesário Ramos,3/10/2013,Misc.,233
,All,,,Pictures,Esther Vervloed,11/15/2016,Misc.,234